Дата;Тепература;Влажность;Скорость ветра;Давление
2013-03-09;25,42;49,71;5,28;1009,28
2013-03-20;29,16;36,33;6,80;1009,5
2013-03-24;27,0;48,75;10,88;1010,25
2013-04-01;25,37;45,5;4,4;1008,5
2013-04-03;26,2;45,6;8,14;1009,0
2013-04-05;25,6;31,0;15,55;1007,0
2013-04-06;25,85;29,85;11,90;1006,14
2013-04-07;29,14;23,28;10,31;1005,0
2013-04-08;28,71;33,85;5,3;1006,0
2013-04-09;30,16;30,5;8,65;1005,33
2013-04-10;30,0;28,0;6,1;1006,71
2013-04-11;30,0;24,2;7,78;1006,4
2013-04-12;28,85;32,57;6,34;1007,57
2013-04-13;30,2;29,2;10,00;1008,4
2013-04-14;28,25;39,37;6,48;1007,0
2013-04-15;28,25;41,37;6,25;1003,87
2013-04-16;32,12;24,62;10,42;1000,0
2013-04-17;29,2;24,2;6,65;1002,2
2013-04-18;30,28;30,28;4,75;1002,85
2013-04-19;28,28;31,28;3,97;1002,57
2013-04-20;30,62;29,0;7,63;1003,37
2013-04-21;27,66;38,66;13,88;1006,83
2013-04-22;27,37;45,37;7,65;1010,0
2013-04-23;28,62;44,12;4,62;1009,87
2013-04-24;30,28;41,71;2,11;1008,57
2013-04-25;31,14;38,28;3,7;1007,71
2013-04-26;29,87;45,87;6,71;1008,37
2013-04-27;31,14;31,42;13,48;1007,0
2013-04-28;30,57;28,0;12,97;1005,42
2013-04-29;32,12;26,37;7,87;1004,87
2013-04-30;31,14;32,0;7,92;1004,85
2013-05-01;31,85;15,85;12,68;1002,83
2013-05-02;29,83;22,16;11,43;1001,2
2013-05-03;28,57;31,57;9,0;999,42
2013-05-04;32,85;31,42;2,91;999,0
2013-05-05;32,62;31,12;3,01;1000,62
2013-05-06;32,75;39,25;3,7;1001,62
2013-05-07;32,87;33,25;7,17;1002,0
2013-05-08;34,5;23,0;9,25;1001,16
2013-05-09;34,28;26,0;8,98;1000,85
2013-05-10;34,0;27,71;9,52;1000,14
2013-05-11;30,75;30,37;14,81;999,87
2013-05-12;29,85;40,14;5,82;1003,71
2013-05-13;31,71;34,0;3,97;1003,57
2013-05-14;32,28;34,28;4,77;1001,57
2013-05-15;33,0;33,0;3,23;999,85
2013-05-16;33,0;34,75;7,17;998,5
2013-05-17;32,83;28,16;9,86;1000,33
2013-05-18;31,4;42,2;12,96;999,0
2013-05-19;35,33;22,33;15,74;999,66
2013-05-20;36,4;24,2;7,4;998,4
2013-05-21;36,0;19,0;11,37;998,66
2013-05-22;36,75;22,12;17,58;998,62
2013-05-23;37,5;23,33;13,56;997,16
2013-05-24;38,42;27,42;11,38;996,42
2013-05-25;38,71;22,42;10,31;998,14
2013-05-26;37,8;21,2;10,74;998,2
2013-05-27;35,85;31,57;8,72;999,14
2013-05-28;35,33;29,0;8,33;1000,16
2013-05-29;34,14;27,85;5,55;999,42
2013-05-30;32,2;28,2;5,56;999,6
2013-05-31;33,62;40,12;10,63;998,71
2013-06-03;35,6;47,0;12,23;999,6
2013-06-04;35,85;42,57;5,02;999,85
2013-06-05;37,16;36,5;9,86;998,0
2013-06-07;34,0;49,25;7,41;998,0
2013-06-09;36,16;40,0;11,41;995,16
2013-06-10;36,62;42,75;8,10;995,12
2013-06-21;34,83;47,33;5,86;995,33
2013-06-22;35,6;39,4;10,74;996,2
2013-09-03;32,75;45,5;14,79;1001,5
2013-09-04;31,71;48,0;14,54;1002,16
2013-09-05;31,66;46,0;13,56;1001,5
2014-04-02;26,75;43,37;7,17;1005,75
2014-04-04;25,85;47,85;11,91;1009,85
2014-04-05;27,37;44,0;9,26;1008,87
2014-04-06;30,12;45,25;6,71;1007,5
2014-04-07;27,25;47,62;12,96;1009,62
2014-04-08;25,75;41,87;12,72;1010,37
2014-04-09;25,75;35,25;12,73;1010,25
2014-04-10;26,37;29,25;12,50;1010,87
2014-04-11;28,14;29,0;10,05;1008,57
2014-04-12;29,12;39,87;5,10;1007,12
2014-04-13;26,87;40,37;15,51;1009,62
2014-04-14;27,62;46,62;5,35;1010,62
2014-04-15;29,0;48,12;2,55;1009,12
2014-04-17;26,37;49,62;9,25;1007,0
2014-04-20;27,0;48,0;4,63;1010,5
2014-04-21;28,0;33,12;8,81;1010,0
2014-04-22;29,37;29,37;12,5;1011,75
2014-04-23;29,12;37,0;6,02;1009,0
2014-04-24;29,37;35,87;7,87;1005,87
2014-04-25;30,62;34,37;8,11;1006,12
2014-04-26;31,5;32,0;8,11;1006,37
2014-04-27;30,62;30,0;8,35;1007,12
2014-04-28;31,5;27,87;10,18;1005,62
2014-04-29;32,12;28,87;8,32;1003,87
2014-04-30;33,25;25,5;5,33;1003,75
2014-05-01;34,87;22,5;9,73;1001,5
2014-05-02;34,37;24,75;6,48;1001,87
2014-05-03;31,75;33,37;6,47;1003,62
2014-05-04;31,87;34,37;5,8;1003,0
2014-05-07;31,75;48,62;1,85;1004,25
2014-05-08;31,37;43,0;10,66;1002,62
2014-05-09;30,5;39,62;6,48;1000,42
2014-05-10;30,0;37,62;7,88;1000,75
2014-05-11;29,62;40,37;7,65;1004,0
2014-05-15;29,5;39,87;11,12;1004,25
2014-05-16;31,12;40,25;9,48;1003,5
2014-05-17;29,87;47,62;7,17;1007,0
2014-05-18;31,5;35,37;13,89;1007,37
2014-05-19;32,37;29,5;11,57;1006,62
2014-05-20;31,12;34,0;7,63;1006,62
2014-05-21;33,0;32,5;9,71;1002,12
